Designator,Mid X,Mid Y,Rotation,Layer
D1,-139.7588,65.8812,90.0,bottom
D10,-139.7888,46.8837,90.0,bottom
D11,-120.7288,46.8837,90.0,bottom
D12,-101.6688,46.8812,90.0,bottom
D13,-82.6188,46.8837,90.0,bottom
D14,-63.5488,46.8812,90.0,bottom
D15,-44.5188,46.8912,90.0,bottom
D16,-25.4688,46.8812,90.0,bottom
D17,-6.4188,46.8812,90.0,bottom
D18,12.6112,46.8712,90.0,bottom
D19,-139.7788,27.7812,90.0,bottom
D2,-120.7288,65.8812,90.0,bottom
D20,-120.6988,27.7812,90.0,bottom
D21,-101.6488,27.7812,90.0,bottom
D22,-82.6288,27.7812,90.0,bottom
D23,-63.5888,27.7812,90.0,bottom
D24,-44.5288,27.7812,90.0,bottom
D25,-25.4688,27.7812,90.0,bottom
D26,-6.4188,27.7812,90.0,bottom
D27,12.6212,27.7812,90.0,bottom
D28,-139.7888,8.7312,90.0,bottom
D29,-120.7188,8.7312,90.0,bottom
D3,-101.6688,65.8812,90.0,bottom
D30,-101.6688,8.7312,90.0,bottom
D31,-82.6288,8.7312,90.0,bottom
D32,-63.5788,8.7312,90.0,bottom
D33,-44.5288,8.7312,90.0,bottom
D34,-25.4688,8.7312,90.0,bottom
D35,-6.4288,8.7312,90.0,bottom
D36,12.6312,8.7312,90.0,bottom
D37,-139.7788,-10.3188,90.0,bottom
D38,-120.7288,-10.3188,90.0,bottom
D39,-101.6788,-10.3188,90.0,bottom
D4,-82.6288,65.8812,90.0,bottom
D40,-82.6288,-10.3188,90.0,bottom
D41,-63.5788,-10.3188,90.0,bottom
D42,-44.5188,-10.3188,90.0,bottom
D43,-25.4788,-10.3188,90.0,bottom
D44,-6.4288,-10.3188,90.0,bottom
D45,12.6212,-10.3188,90.0,bottom
D5,-63.5688,65.8812,90.0,bottom
D6,-44.5288,65.8812,90.0,bottom
D7,-25.5088,65.8812,90.0,bottom
D8,-6.4288,65.8812,90.0,bottom
D9,12.6212,65.8812,90.0,bottom
